lucky_time,lucky_date,first_person,first_money,second_person,second_money,third_person,third_money,fourth_person,fourth_money,fifth_person,fifth_money,first_num,second_num,third_num,fourth_num,fifth_num,sixth_num,bonus_num,machine,manpower,P_GROUP,P_CATE,P_TITLE,P_WIDTH,P_HEIGHT,P_LINK,P_PAGE,
632,2015-01-10,11,1432587716,52,50507901,1645,1596603,78418,50000,1320223,5000,15,18,21,32,35,44,6,9,2,,,,0,0,,,
631,2015-01-03,4,3919853532,46,56809472,1676,1559210,85710,50000,1491785,5000,1,2,4,23,31,34,8,4,0,,,,0,0,,,
630,2014-12-27,3,4836305500,48,50378183,1631,1482620,84380,50000,1420745,5000,8,17,21,24,27,31,15,1,2,,,,0,0,,,
629,2014-12-20,5,2919433575,34,71554745,1321,1841682,68554,50000,1183752,5000,19,28,31,38,43,44,1,5,0,,,,0,0,,,
628,2014-12-13,9,1499942875,37,60808495,1628,1382012,80147,50000,1323978,5000,1,7,12,15,23,42,11,5,4,,,,0,0,,,
627,2014-12-06,10,1352230650,35,64391936,1532,1471096,74824,50000,1243945,5000,2,9,22,25,31,45,12,4,6,,,,0,0,,,
626,2014-11-29,8,1717871110,45,50899885,1766,1296996,86261,50000,1371217,5000,13,14,26,33,40,43,15,5,3,,,,0,0,,,
625,2014-11-22,5,2765184675,45,51207124,1654,1393181,82014,50000,1354445,5000,3,6,7,20,21,39,13,4,1,,,,0,0,,,
624,2014-11-15,5,2763729450,61,37755867,1574,1463220,78840,50000,1309900,5000,1,7,19,26,27,35,16,5,0,,,,0,0,,,
623,2014-11-08,8,1813702594,35,69093433,1456,1660900,73522,50000,1245962,5000,7,13,30,39,41,45,25,6,2,,,,0,0,,,
622,2014-11-01,9,1630598292,34,71938160,1629,1501472,77626,50000,1270437,5000,9,15,16,21,28,34,24,8,1,,,,0,0,,,
621,2014-10-25,6,2359723500,62,38060057,1555,1517508,82843,50000,1336734,5000,1,2,6,16,19,42,9,4,2,,,,0,0,,,
620,2014-10-18,7,2028283233,44,53780238,1661,1424643,78155,50000,1266599,5000,2,16,17,32,39,45,40,5,2,,,,0,0,,,
619,2014-10-11,3,4612479375,59,39088809,1712,1347103,83710,50000,1355209,5000,6,8,13,30,35,40,21,3,0,,,,0,0,,,
618,2014-10-04,5,2881326225,45,53357894,1581,1518726,75243,50000,1260882,5000,8,16,25,30,42,43,15,5,0,,,,0,0,,,
617,2014-09-27,8,1629701860,43,50533391,1993,1090284,93731,50000,1481805,5000,4,5,11,12,24,27,28,4,4,,,,0,0,,,
616,2014-09-20,9,1611811250,49,49341161,1700,1422187,81118,50000,1350809,5000,5,13,18,23,40,45,3,4,5,,,,0,0,,,
615,2014-09-13,9,1535062417,31,74277214,1670,1378799,83981,50000,1383278,5000,10,17,18,19,23,27,35,8,1,,,,0,0,,,
614,2014-09-06,6,2540975438,46,55238597,1523,1668402,80393,50000,1360707,5000,8,21,25,39,40,44,18,5,1,,,,0,0,,,
613,2014-08-30,9,1549831209,30,77491561,1538,1511539,77945,50000,1299580,5000,7,8,11,16,41,44,35,8,1,,,,0,0,,,
612,2014-08-23,11,1181705250,59,36719655,1833,1181921,86228,50000,1364516,5000,6,9,18,19,25,33,40,7,4,,,,0,0,,,
611,2014-08-16,4,3502706157,47,49683776,1486,1571425,74589,50000,1258998,5000,2,22,27,33,36,37,14,4,0,,,,0,0,,,
610,2014-08-09,4,3516018375,34,68941537,1398,1676690,71718,50000,1218676,5000,14,18,20,23,28,36,33,4,0,,,,0,0,,,
609,2014-08-02,2,6339311438,47,44959656,1621,1303581,80472,50000,1300134,5000,4,8,27,34,39,40,13,2,0,,,,0,0,,,
608,2014-07-26,7,1943530018,32,70857866,1516,1495681,74353,50000,1243159,5000,4,8,18,19,39,44,41,5,2,,,,0,0,,,
607,2014-07-19,4,3494480907,35,66561542,1448,1608878,73277,50000,1220405,5000,8,14,23,36,38,39,13,3,1,,,,0,0,,,
606,2014-07-12,10,1311566850,44,49680563,1542,1417604,82879,50000,1366588,5000,1,5,6,14,20,39,22,8,2,,,,0,0,,,
605,2014-07-05,9,1394232250,40,52283710,2286,914851,92980,50000,1386335,5000,1,2,7,9,10,38,42,6,3,,,,0,0,,,
604,2014-06-28,11,1229141557,36,62595172,1451,1553016,75476,50000,1266398,5000,2,6,18,21,33,34,30,10,1,,,,0,0,,,
603,2014-06-21,4,3452136563,30,76714146,1363,1688500,71799,50000,1227396,5000,2,19,25,26,27,43,28,3,1,,,,0,0,,,
602,2014-06-14,8,1689530860,42,53635901,1675,1344901,77026,50000,1251693,5000,13,14,22,27,30,38,2,6,2,,,,0,0,,,
601,2014-06-07,9,1524565209,28,81673137,1516,1508475,72233,50000,1205559,5000,2,16,19,31,34,35,37,6,3,,,,0,0,,,
600,2014-05-31,15,901798725,41,54987728,1518,1485176,77138,50000,1258677,5000,5,11,14,27,29,36,44,4,11,,,,0,0,,,
